valor_reais,area_m²,n_quartos,banheiros,vaga_garagem,condominio_reais
320000,31,1,1,1,240
330000,80,2,1,0,240
390000,78,2,1,0,258
610000,112,2,3,1,900
610000,93,3,3,1,771
420000,54,1,1,1,490
998500,207,2,3,2,1100
330000,80,2,1,0,240
895000,110,3,3,2,900
895000,109,3,3,2,870
572400,70,2,2,1,540
330000,80,2,1,0,240
220000,55,1,1,0,250
390000,113,2,2,1,420
470000,117,3,2,1,600
259000,39,1,1,0,148
279000,55,2,1,0,225
230000,57,2,1,0,315
430000,102,3,2,0,395
465000,74,3,2,0,350
565000,124,2,2,1,600
420000,98,3,2,0,400
722000,75,5,1,1,650
310000,60,2,1,0,311
660000,65,2,2,1,500
389000,40,1,1,1,250
495000,132,3,2,0,300
360000,70,2,2,0,215
280000,70,2,1,0,180
778000,63,2,1,1,200
495000,40,1,1,1,200
750000,63,2,2,1,500
360000,84,1,2,0,400
195000,42,1,1,0,197
599000,64,2,2,1,200
715000,64,2,2,1,200
275000,61,2,1,0,290
749000,62,2,3,1,200
550000,90,2,2,1,680
260000,80,2,1,0,313
670000,91,3,2,1,810
489000,48,1,1,1,753
540000,57,1,1,2,700
1330000,204,3,3,1,1800
550000,90,2,2,1,680
530000,86,2,1,1,490
450000,50,2,2,1,615
390000,78,2,1,0,258
430000,45,1,1,1,550
180000,47,1,1,0,270
200000,38,1,1,0,220
350000,95,3,3,0,150
220000,71,2,1,0,300
