aluguel_reais,area_m2,n_quartos,banheiros,condominio_reais
1018,31,1,1,240
1035,80,2,1,240
1438,78,2,1,258
1990,112,2,3,900
2272,93,3,3,771
1184,54,1,1,490
1677,207,2,3,1100
1035,80,2,1,240
2104,110,3,3,900
2123,109,3,3,870
1538,70,2,2,540
1035,80,2,1,240
791,55,1,1,250
1507,113,2,2,420
1678,117,3,2,600
1148,39,1,1,148
1232,55,2,1,225
1148,57,2,1,315
1437,102,3,2,395
1469,74,3,2,350
1787,124,2,2,600
1712,98,3,2,400
1451,75,5,1,650
958,60,2,1,311
1555,65,2,2,500
925,40,1,1,250
1364,132,3,2,300
980,70,2,2,215
1068,70,2,1,180
1151,63,2,1,200
940,40,1,1,200
1644,63,2,2,500
1439,84,1,2,400
1100,42,1,1,197
1467,64,2,2,200
1461,64,2,2,200
1098,61,2,1,290
1887,62,2,3,200
2000,90,2,2,680
1093,80,2,1,313
1694,91,3,2,810
1150,48,1,1,753
1564,57,1,1,700
1831,204,3,3,1800
2000,90,2,2,680
1035,86,2,1,490
1498,50,2,2,615
1438,78,2,1,258
1026,45,1,1,550
885,47,1,1,270
1480,38,1,1,220
1730,95,3,3,150
1424,71,2,1,300
1850,85,2,1,600
1790,98,2,3,750
1326,70,2,2,200
825,60,1,1,240
1695,95,3,2,384
